timestamp;cpu_usage;ram_used;ram_total;disk_used;disk_total;disk_read;disk_write;network_in;network_out
1740730325;15.674603581428528;362168320;16782884864;26957393920;105597712384;5733580;104857;151;206
1740730325;13.690476179122925;409673728;16782884864;26957393920;105597712384;17894604;104857;151;262
1740730325;22.781386137008667;418619392;16782884864;26957393920;105597712384;24598118;104857;151;262
1740730325;26.8719801902771;418234368;16782884864;26957393920;105597712384;32960512;104857;151;262
1740730325;25;418004992;16782884864;26957393920;105597712384;37052416;104857;140;206
1740730326;26.250000715255737;421793792;16782884864;26957553664;105597712384;44132761;6553;0;55
1740730326;24.940476179122925;421605376;16782884864;26957553664;105597712384;40517632;6553;0;19
1740730326;23.75;421842944;16782884864;26957553664;105597712384;42333798;6553;0;19
1740730326;27.272727251052856;422264832;16782884864;26957553664;105597712384;42464870;6553;0;19
1740730326;25;422215680;16782884864;26957553664;105597712384;42517299;6553;10;19
1740730327;33.386592864990234;429264896;16782884864;26957557760;105597712384;42264985;0;10;19
1740730327;47.43421173095703;451235840;16782884864;26957561856;105597712384;41927475;819;30;0
1740730327;28.75;419229696;16782884864;26957582336;105597712384;43011276;1638;30;0
1740730327;23.75;418963456;16782884864;26957582336;105597712384;43011276;20480;30;0
1740730327;22.619047164916992;418914304;16782884864;26957582336;105597712384;42460774;20480;20;0
1740730328;23.75;419209216;16782884864;26957582336;105597712384;42033971;22118;20;0
1740730328;25;419209216;16782884864;26957582336;105597712384;42319052;21299;0;0
1740730328;23.690476179122925;418971648;16782884864;26957582336;105597712384;41261465;20480;0;0
1740730328;23.75;419328000;16782884864;26957582336;105597712384;41523609;1638;0;14
1740730328;23.75;418893824;16782884864;26957582336;105597712384;42126540;1638;10;14
1740730329;23.75;419102720;16782884864;26957582336;105597712384;42808115;0;10;14
1740730329;23.75;418762752;16782884864;26957582336;105597712384;43044044;0;10;14
1740730329;25.000000715255737;418795520;16782884864;26957582336;105597712384;42598400;0;10;14
1740730329;25;419098624;16782884864;26957582336;105597712384;41313894;0;10;0
1740730329;23.68421173095703;419045376;16782884864;26957582336;105597712384;41549824;0;0;0
1740730330;23.809524536132813;419221504;16782884864;26957582336;105597712384;41602252;0;0;0
1740730330;22.36842155456543;419160064;16782884864;26957582336;105597712384;39924531;99942;0;0
1740730330;23.75;419217408;16782884864;26957582336;105597712384;40501248;99942;0;0
1740730330;25.000000715255737;419307520;16782884864;26957582336;105597712384;41763635;99942;0;0
1740730330;24.940476179122925;419233792;16782884864;26957582336;105597712384;41737420;99942;10;0
1740730331;23.75;419459072;16782884864;26957582336;105597712384;41816064;99942;10;0
1740730331;23.68421173095703;419463168;16782884864;26957582336;105597712384;43231641;0;10;0
1740730331;25;419258368;16782884864;26957582336;105597712384;41842278;0;24;0
1740730331;23.75;419495936;16782884864;26957582336;105597712384;41471180;0;24;0
1740730331;23.75;419536896;16782884864;26957582336;105597712384;41340108;0;14;0
1740730332;23.75;419393536;16782884864;26957582336;105597712384;40946892;0;14;0
1740730332;22.36842155456543;423964672;16782884864;26957582336;105597712384;40343961;72908;14;0
1740730332;26.190476179122925;423825408;16782884864;26957582336;105597712384;41418752;74547;0;0
1740730332;23.75;424005632;16782884864;26957582336;105597712384;41392537;74547;0;0
1740730332;23.75;423854080;16782884864;26957582336;105597712384;41287680;74547;10;0
1740730333;23.75;423968768;16782884864;26957582336;105597712384;41313894;74547;10;0
1740730333;23.863636016845703;424222720;16782884864;26957582336;105597712384;41838182;1638;10;0
1740730333;23.809524536132813;424136704;16782884864;26957582336;105597712384;41916825;0;10;0
1740730333;23.809524536132813;424058880;16782884864;26957582336;105597712384;42074112;0;10;0
1740730333;23.809524536132813;424304640;16782884864;26957582336;105597712384;42047897;0;0;0
1740730334;25;424321024;16782884864;26957582336;105597712384;42047897;0;0;0
1740730334;23.75;424341504;16782884864;26957582336;105597712384;42257612;0;0;0
1740730334;25.000000715255737;424419328;16782884864;26957582336;105597712384;42205184;0;0;0
1740730334;23.809524536132813;424366080;16782884864;26957582336;105597712384;42336256;0;0;0
1740730334;23.68421173095703;424235008;16782884864;26957582336;105597712384;42205184;0;10;0
1740730335;23.809524536132813;424402944;16782884864;26957582336;105597712384;42650828;0;10;0
1740730335;23.68421173095703;424808448;16782884864;26957582336;105597712384;42388684;4915;30;0
1740730335;25;424665088;16782884864;26957582336;105597712384;41287680;4915;30;0
1740730335;23.68421173095703;424513536;16782884864;26957582336;105597712384;41104998;4915;30;0
1740730335;23.809524536132813;424972288;16782884864;26957582336;105597712384;41472000;4915;20;0
1740730336;23.75;424599552;16782884864;26957582336;105597712384;41183641;4915;20;0
1740730336;23.809524536132813;424837120;16782884864;26957582336;105597712384;41367142;0;0;0
1740730336;25;424841216;16782884864;26957582336;105597712384;42573004;0;0;0
1740730336;23.75;424792064;16782884864;26957582336;105597712384;42650828;0;0;14
1740730336;23.75;424910848;16782884864;26957582336;105597712384;42467328;0;10;14
1740730337;23.75;424882176;16782884864;26957582336;105597712384;41864396;0;10;14
