timestamp;cpu_usage;ram_used;ram_total;disk_used;disk_total;disk_read;disk_write;network_in;network_out
1740671937;5.2302632331848145;484503552;16781893632;37510098944;105597712384;7380172;105676;1566;507
1740671938;13.226817011833193;544374784;16781893632;37510098944;105597712384;10932224;215449;1682;1523
1740671938;48.899521470069885;912179200;16781893632;37510098944;105597712384;13312000;166297;1642;1487
1740671938;61.84523844718933;1047498752;16781893632;37510258688;105597712384;37984665;119603;1642;1430
1740671938;60.621867537498474;1177292800;16781893632;37510258688;105597712384;63490457;119603;1543;1330
1740671938;58.95292282104492;1310928896;16781893632;37510258688;105597712384;88221286;116326;115;1034
1740671939;64.01679873466492;1441079296;16781893632;37510258688;105597712384;109838336;6553;0;19
1740671939;61.81234395503998;1570824192;16781893632;37510258688;105597712384;128243302;6553;0;19
1740671939;58.92316055297851;1699131392;16781893632;37510258688;105597712384;127260262;0;0;19
1740671939;71.38001227378845;1839538176;16781893632;37510262784;105597712384;125992140;0;0;19
1740671939;70.99702501296997;1940570112;16781893632;37510287360;105597712384;124718284;421068;10;0
1740671940;61.78799402713776;2065084416;16781893632;37510287360;105597712384;124003942;421068;10;0
1740671940;59.49404811859131;2194333696;16781893632;37510287360;105597712384;123840921;421068;10;0
1740671940;59.518399238586426;2322829312;16781893632;37510287360;105597712384;124139929;441548;30;0
1740671940;62.43734395503998;2457071616;16781893632;37510287360;105597712384;126219878;441548;30;0
1740671940;59.96710586547851;2590777344;16781893632;37510287360;105597712384;127743590;20480;20;0
1740671941;60.71428680419922;2719637504;16781893632;37510287360;105597712384;129019904;20480;20;0
1740671941;60.625;2852184064;16781893632;37510287360;105597712384;129845657;20480;20;14
1740671941;60.059523940086365;2981511168;16781893632;37510287360;105597712384;129863680;0;0;14
1740671941;60.00000035762787;3112431616;16781893632;37510287360;105597712384;129240268;0;0;14
1740671941;61.22023808956146;3244494848;16781893632;37510287360;105597712384;128899481;0;10;14
1740671942;60.741342544555664;3373481984;16781893632;37510287360;105597712384;128402227;0;10;14
1740671942;61.25000035762787;3503304704;16781893632;37510287360;105597712384;127746048;0;10;0
1740671942;61.70411837100983;3640385536;16781893632;37510287360;105597712384;129064140;199065;10;0
1740671942;66.2797622680664;3768643584;16781893632;37510295552;105597712384;133254348;212172;10;0
1740671942;63.42703461647034;3898159104;16781893632;37510311936;105597712384;137211904;218726;0;0
1740671943;60.69131261110306;4025163776;16781893632;37510311936;105597712384;138384179;228556;0;0
1740671943;61.93452453613281;4154888192;16781893632;37510311936;105597712384;139753881;238387;0;0
1740671943;61.806506395339966;4288290816;16781893632;37510311936;105597712384;140436275;49152;0;0
1740671943;66.51159274578094;4428849152;16781893632;37510320128;105597712384;133154406;47513;0;0
1740671943;66.21710622310638;4559167488;16781893632;37510336512;105597712384;129226342;104857;10;0
1740671944;62.0629700422287;4682153984;16781893632;37510352896;105597712384;128656179;113049;10;0
1740671944;61.25;4809322496;16781893632;37510352896;105597712384;127902515;111411;10;0
1740671944;61.279762506484985;4940468224;16781893632;37510352896;105597712384;127483904;111411;24;0
1740671944;61.87500035762787;5071200256;16781893632;37510352896;105597712384;131794534;109772;24;0
1740671944;65.26700460910797;5119954944;16781893632;37510361088;105597712384;131375104;163840;14;0
1740671945;61.97055232524872;5117997056;16781893632;37510381568;105597712384;131893657;361267;14;0
1740671945;65.64892399311066;5115379712;16781893632;37510397952;105597712384;134385664;371097;14;0
1740671945;57.6762934923172;5115621376;16781893632;37510397952;105597712384;138438246;580812;0;0
1740671945;61.7825825214386;5116665856;16781893632;37510397952;105597712384;144725606;685670;0;0
1740671945;61.31265699863434;5116645376;16781893632;37510397952;105597712384;151274291;777420;10;0
1740671946;59.19502890110016;5122846720;16781893632;37510397952;105597712384;152535040;683212;10;0
1740671946;61.84523820877075;5119148032;16781893632;37510406144;105597712384;155633254;666828;10;0
1740671946;59.33584022521973;5125988352;16781893632;37510406144;105597712384;156354150;457113;10;0
1740671946;61.71679353713989;5126955008;16781893632;37510406144;105597712384;155507916;352256;10;0
1740671946;62.8562890291214;5129863168;16781893632;37510406144;105597712384;155222016;152371;0;0
1740671947;63.09117043018341;5129998336;16781893632;37510422528;105597712384;156658073;44236;0;0
1740671947;61.27610671520233;5127897088;16781893632;37510447104;105597712384;155851980;83558;0;0
1740671947;61.243735909461975;5130756096;16781893632;37510447104;105597712384;154802585;213811;0;0
1740671947;60.09241890907288;5131251712;16781893632;37510447104;105597712384;153207603;213811;0;0
1740671947;59.45574343204498;5130440704;16781893632;37510447104;105597712384;149164851;213811;10;0
1740671948;65.05952394008636;5135581184;16781893632;37510455296;105597712384;151004774;213811;10;0
1740671948;61.75282025337219;5133115392;16781893632;37510455296;105597712384;151817420;387481;30;0
1740671948;61.749688386917114;5133508608;16781893632;37510455296;105597712384;149936537;362086;30;0
1740671948;62.031024754047394;5133729792;16781893632;37510455296;105597712384;148887142;571801;30;0
1740671948;64.09090924263;5138513920;16781893632;37510455296;105597712384;153778585;676659;20;14
1740671949;65.97901141643524;5138874368;16781893632;37510471680;105597712384;150550118;673382;20;14
1740671949;65.30483400821686;5139369984;16781893632;37510488064;105597712384;164416716;711065;0;14
1740671949;60.654762268066406;5139935232;16781893632;37510488064;105597712384;184602624;712704;0;14
1740671949;61.0466513633728;5141504000;16781893632;37510488064;105597712384;201501900;504627;0;14
1740671949;59.43139171600342;5142409216;16781893632;37510488064;105597712384;213681766;399769;10;0
1740671950;63.05921196937561;5142724608;16781893632;37510496256;105597712384;233061580;611123;10;0
1740671950;61.17063558101654;5143334912;16781893632;37510512640;105597712384;232685568;612761;10;0
1740671950;62.67543828487396;5144064000;16781893632;37510529024;105597712384;229067980;650444;10;0
1740671950;65.1315792798996;5144449024;16781893632;37510537216;105597712384;233503129;678297;10;0
1740671950;62.256494998931885;5153116160;16781893632;37510537216;105597712384;243136921;888012;0;0
1740671951;63.75;5148360704;16781893632;37510545408;105597712384;246775808;778240;0;0
1740671951;62.50000035762787;5149962240;16781893632;37510545408;105597712384;253850419;629145;0;0
1740671951;61.875;5150154752;16781893632;37510545408;105597712384;259766681;579993;0;0
1740671951;50.225565910339355;5150769152;16781893632;37510545408;105597712384;251352678;540672;0;0
1740671951;56.93139171600342;5151449088;16781893632;37510545408;105597712384;244651622;530841;10;0
1740671952;63.09523808956146;5159190528;16781893632;37510549504;105597712384;245882060;524288;10;0
1740671952;61.93181800842285;5159215104;16781893632;37510680576;105597712384;245356134;524288;10;0
1740671952;59.398497581481934;5146501120;16781893632;37510754304;105597712384;254863769;760217;10;0
1740671952;62.5595246553421;5147209728;16781893632;37510770688;105597712384;278275686;866713;10;0
1740671952;63.12500047683716;5147529216;16781893632;37510795264;105597712384;298225664;866713;0;0
1740671953;63.69047665596008;5147029504;16781893632;37510811648;105597712384;315432140;866713;0;0
1740671953;64.91071462631226;5148258304;16781893632;37511213056;105597712384;333249740;866713;0;0
1740671953;64.79978358745575;5149274112;16781893632;37511237632;105597712384;344625152;525926;0;0
1740671953;64.37500011920929;5149655040;16781893632;37511262208;105597712384;351345049;419430;0;0
1740671953;63.194444477558136;5150457856;16781893632;37511270400;105597712384;354593996;209715;10;0
1740671954;32.79605329036713;5150019584;16781893632;37511278592;105597712384;319413452;11146854;10;0
1740671954;17.88904118537903;5150486528;16781893632;37511278592;105597712384;269126041;21929164;10;0
1740671954;61.28289496898651;5150015488;16781893632;37511303168;105597712384;259758489;58929152;10;0
1740671954;64.4110279083252;5150281728;16781893632;37511311360;105597712384;255927091;74603724;10;0
1740671954;58.115602135658264;4875460608;16781893632;37515325440;105597712384;214732800;74603724;0;0
1740671976;6.5476192235946655;546689024;16781893632;37510381568;105597712384;6352896;104038;184;168
1740671976;13.125;613847040;16781893632;37510397952;105597712384;8473804;189235;184;168
1740671976;55.71428620815277;942092288;16781893632;37510397952;105597712384;19621478;187596;184;168
1740671976;60.62457352876663;1072173056;16781893632;37510397952;105597712384;44914278;177766;205;168
1740671976;61.210317611694336;1201270784;16781893632;37510397952;105597712384;70372556;177766;194;168
1740671977;64.07111597061157;1327796224;16781893632;37510397952;105597712384;93086515;129433;20;0
1740671977;62.39648103713989;1457897472;16781893632;37510406144;105597712384;117225881;37683;20;0
1740671977;62.62531399726868;1589280768;16781893632;37510406144;105597712384;132286054;37683;20;0
1740671977;60.05952453613281;1717305344;16781893632;37510406144;105597712384;132163174;47513;0;0
1740671977;64.65595918893814;1843748864;16781893632;37510406144;105597712384;130980249;47513;10;0
1740671978;63.28947412967682;1969098752;16781893632;37510422528;105597712384;132409753;44236;10;0
1740671978;61.01959538459778;2091597824;16781893632;37510422528;105597712384;130317516;337510;10;14
1740671978;60.116342544555664;2217213952;16781893632;37510422528;105597712384;129156710;339148;10;14
1740671978;61.27662944793701;2344783872;16781893632;37510422528;105597712384;129030553;339148;10;14
1740671978;65.3472226858139;2478268416;16781893632;37510447104;105597712384;130000486;342425;0;14
1740671979;61.904762625694275;2608128000;16781893632;37510447104;105597712384;130926182;332595;0;14
1740671979;61.279762864112854;2742910976;16781893632;37510447104;105597712384;133603328;47513;0;0
1740671979;61.640551805496216;2875781120;16781893632;37510447104;105597712384;135123763;45875;0;0
1740671979;61.399664521217346;3010617344;16781893632;37510447104;105597712384;135968358;45875;0;0
1740671979;64.87554204463959;3140829184;16781893632;37510455296;105597712384;136105984;42598;10;0
1740671980;60.68722993135452;3272507392;16781893632;37510455296;105597712384;136297676;47513;10;0
1740671980;61.31265699863434;3402031104;16781893632;37510455296;105597712384;134894387;47513;10;0
1740671980;62.36201310157776;3533897728;16781893632;37510455296;105597712384;134604390;47513;10;0
1740671980;62.59868478775024;3675320320;16781893632;37510455296;105597712384;131013836;47513;10;0
1740671980;65.0297622680664;3814998016;16781893632;37510471680;105597712384;127006310;47513;0;0
1740671981;61.78528809547424;3948879872;16781893632;37510479872;105597712384;125299916;207257;0;0
1740671981;62.00396806001663;4076351488;16781893632;37510479872;105597712384;124493824;208896;0;0
1740671981;63.779762506484985;4209971200;16781893632;37510496256;105597712384;123720499;246579;0;0
1740671981;61.25000071525574;4340592640;16781893632;37510496256;105597712384;127695257;244940;10;0
1740671981;61.9047634601593;4476186624;16781893632;37510496256;105597712384;130197094;244940;10;0
1740671982;62.840909242630005;4610867200;16781893632;37510496256;105597712384;129752268;86835;10;0
1740671982;63.00595235824585;4736655360;16781893632;37510512640;105597712384;130147942;86835;10;0
1740671982;61.75823175907135;4867383296;16781893632;37510512640;105597712384;131020390;49152;10;0
1740671982;63.01136350631714;5004328960;16781893632;37510512640;105597712384;131774054;50790;0;0
1740671982;64.31547617912292;5120671744;16781893632;37510512640;105597712384;131765043;50790;0;0
1740671983;66.13408625125885;5127503872;16781893632;37510512640;105597712384;136533606;50790;0;0
1740671983;64.94047617912292;5123313664;16781893632;37510529024;105597712384;142642380;50790;0;0
1740671983;60.68452489376068;5124259840;16781893632;37510529024;105597712384;147856588;155648;0;0
1740671983;61.312657594680786;5126942720;16781893632;37510529024;105597712384;153702400;365363;10;0
1740671983;63.71345007419586;5128441856;16781893632;37510537216;105597712384;161059635;471859;10;0
1740671984;63.12500071525574;5128630272;16781893632;37510537216;105597712384;165467750;681574;10;0
1740671984;58.21115303039551;5129293824;16781893632;37510537216;105597712384;165335040;784793;10;0
1740671984;65.90909099578857;5127278592;16781893632;37510545408;105597712384;166290227;684851;10;0
1740671984;64.43181836605072;5113425920;16781893632;37510545408;105597712384;165082726;471859;0;0
1740671984;62.5;5114425344;16781893632;37510545408;105597712384;164383129;355532;0;0
1740671985;60.68452453613281;5114310656;16781893632;37510545408;105597712384;161076838;135987;0;0
1740671985;62.5;5114843136;16781893632;37510545408;105597712384;162209792;21299;0;0
1740671985;61.904762268066406;5115228160;16781893632;37510545408;105597712384;156208332;6553;0;0
1740671985;61.904762268066406;5115199488;16781893632;37510545408;105597712384;154259456;0;0;0
1740671985;61.279762268066406;5114900480;16781893632;37510545408;105597712384;155118796;0;10;0
1740671986;61.25;5118152704;16781893632;37510545408;105597712384;150911385;119603;10;0
1740671986;61.25000035762787;5119008768;16781893632;37510545408;105597712384;148578304;329318;10;0
1740671986;63.09523808956146;5119537152;16781893632;37510545408;105597712384;150682828;434176;10;0
1740671986;61.904762268066406;5119766528;16781893632;37510545408;105597712384;148184268;539033;10;0
1740671986;62.5;5121249280;16781893632;37510545408;105597712384;147252838;539033;0;0
