timestamp;cpu_usage;ram_used;ram_total;disk_used;disk_total;disk_read;disk_write;network_in;network_out
1740763078;10.68181848526001;528773120;16779890688;7772647424;105597712384;21725184;63897;68;130
1740763078;6.876566410064697;497111040;16779890688;7772651520;105597712384;21757132;63897;68;130
1740763078;1.5820801258087158;507879424;16779890688;7772696576;105597712384;22158540;131072;68;130
1740763078;4.360119044780731;570023936;16779890688;7772737536;105597712384;18288640;131072;491;431
1740763079;6.25;641527808;16779890688;7772737536;105597712384;18822758;129433;477;413
1740763079;6.25;709214208;16779890688;7772737536;105597712384;28335308;67174;463;357
1740763079;5.9375;776450048;16779890688;7772737536;105597712384;38415564;67174;476;367
1740763079;5.965909004211426;848257024;16779890688;7772737536;105597712384;48245964;0;489;378
1740763079;6.25;921546752;16779890688;7772737536;105597712384;50567577;0;26;40
1740763080;6.25;993525760;16779890688;7772737536;105597712384;50715852;0;26;40
1740763080;6.25;1061138432;16779890688;7772737536;105597712384;50846924;0;26;21
1740763080;6.25;1132003328;16779890688;7772737536;105597712384;51017318;0;13;10
1740763080;6.25;1204068352;16779890688;7772737536;105597712384;51000934;0;20;0
1740763080;6.547619044780731;1271619584;16779890688;7772737536;105597712384;50749440;0;30;0
1740763081;6.235119044780731;1338974208;16779890688;7772737536;105597712384;50352128;20480;30;0
1740763081;5.9375;1406267392;16779890688;7772737536;105597712384;49956454;20480;30;0
1740763081;6.25;1482579968;16779890688;7772737536;105597712384;50536448;20480;30;0
1740763081;6.25;1553588224;16779890688;7772737536;105597712384;51227033;20480;10;0
1740763081;6.25;1627967488;16779890688;7772737536;105597712384;52187955;20480;0;0
1740763082;6.25;1703587840;16779890688;7772737536;105597712384;53232435;0;0;14
1740763082;5.952381134033203;1767829504;16779890688;7772737536;105597712384;53663334;0;0;14
1740763082;6.25;1838874624;16779890688;7772737536;105597712384;53406924;0;0;14
1740763082;6.25;1906257920;16779890688;7772737536;105597712384;51726745;0;0;14
1740763082;5.9375;1965051904;16779890688;7772737536;105597712384;49687756;0;10;14
1740763083;6.25;2028605440;16779890688;7772737536;105597712384;48206643;12288;10;0
1740763083;5.952381134033203;2100129792;16779890688;7772737536;105597712384;48051814;13926;10;0
1740763083;6.25;2167283712;16779890688;7772737536;105597712384;47343206;13926;10;0
1740763083;5.952381134033203;2234896384;16779890688;7772737536;105597712384;48296755;13926;10;0
1740763083;5.952381134033203;2302705664;16779890688;7772737536;105597712384;49382195;13926;0;0
1740763084;5.9375;2374230016;16779890688;7772737536;105597712384;50094899;1638;0;0
1740763084;6.25;2445828096;16779890688;7772737536;105597712384;50410291;12288;0;0
1740763093;7.583803117275238;452509696;16779890688;7772618752;105597712384;21217280;1638;25;70
1740763093;11.607142925262451;455794688;16779890688;7772647424;105597712384;21480243;3276;25;112
1740763093;5.9375;498126848;16779890688;7772651520;105597712384;21737472;63897;25;112
1740763093;3.7202380895614624;521555968;16779890688;7772733440;105597712384;22160998;126976;40;123
1740763093;0;521555968;16779890688;7772733440;105597712384;7826636;127795;40;86
1740763094;1.4880952835083008;543059968;16779890688;7772737536;105597712384;4246732;126156;467;391
1740763094;6.25;618913792;16779890688;7772737536;105597712384;14767718;124518;493;389
1740763094;6.25;686231552;16779890688;7772737536;105597712384;24396595;63897;493;389
1740763094;6.25;758050816;16779890688;7772737536;105597712384;34273689;819;479;378
1740763094;6.25;829353984;16779890688;7772737536;105597712384;44486656;0;489;378
1740763095;6.25;897093632;16779890688;7772737536;105597712384;51353190;0;57;40
1740763095;6.547619044780731;968278016;16779890688;7772737536;105597712384;50758451;0;30;0
1740763095;6.25;1040416768;16779890688;7772737536;105597712384;50999296;0;30;0
1740763095;6.25;1107525632;16779890688;7772737536;105597712384;50955059;0;30;0
1740763095;6.25;1179832320;16779890688;7772737536;105597712384;51037798;20480;20;0
1740763096;6.25;1247367168;16779890688;7772737536;105597712384;50847744;20480;0;0
1740763096;5.9375;1319063552;16779890688;7772737536;105597712384;50689638;20480;0;0
1740763096;6.25;1386205184;16779890688;7772737536;105597712384;50543001;20480;0;0
1740763096;5.952381134033203;1458061312;16779890688;7772737536;105597712384;50307072;20480;0;0
1740763096;6.25;1529581568;16779890688;7772737536;105597712384;50383257;0;10;0
1740763097;6.25;1596141568;16779890688;7772737536;105597712384;50592153;0;10;14
1740763097;6.25;1668464640;16779890688;7772737536;105597712384;50821529;0;10;14
1740763097;5.952381134033203;1735483392;16779890688;7772737536;105597712384;50905907;0;10;14
1740763097;6.25;1803538432;16779890688;7772737536;105597712384;50713395;0;10;14
1740763097;6.547619044780731;1866452992;16779890688;7772737536;105597712384;49624678;0;0;14
1740763098;5.9375;1933783040;16779890688;7772737536;105597712384;48972595;12288;0;0
1740763098;5.952381134033203;2001039360;16779890688;7772737536;105597712384;48774348;12288;0;0
1740763098;6.25;2073055232;16779890688;7772737536;105597712384;49142169;13926;0;0
1740763098;5.952381134033203;2144333824;16779890688;7772737536;105597712384;49387110;13926;0;0
1740763098;6.25;2211762176;16779890688;7772737536;105597712384;50215321;13926;10;0
1740763099;5.9375;2278907904;16779890688;7772737536;105597712384;50435686;1638;10;0
1740763099;5.921052932739258;2346582016;16779890688;7772737536;105597712384;50297241;1638;10;0
1740763099;6.25;2418204672;16779890688;7772737536;105597712384;49992499;10649;10;0
1740763099;6.25;2489950208;16779890688;7772737536;105597712384;50245632;10649;10;0
1740763109;12.438910067081451;491196416;16779890688;7772647424;105597712384;21701427;63897;41;92
1740763109;6.547619044780731;488173568;16779890688;7726317568;105597712384;21733376;71270;41;92
1740763109;0.9555137753486632;503762944;16779890688;7772696576;105597712384;22170009;131891;41;112
1740763110;6.235119044780731;580366336;16779890688;7772700672;105597712384;20413644;131891;493;412
1740763110;6.2500001192092896;660647936;16779890688;7772737536;105597712384;21958656;130252;493;412
1740763110;6.25;727543808;16779890688;7772737536;105597712384;31533465;67993;452;357
1740763110;6.25;794873856;16779890688;7772737536;105597712384;41523609;60620;452;357
1740763110;6.25;866390016;16779890688;7772737536;105597712384;51195084;0;463;337
1740763111;6.25;938070016;16779890688;7772737536;105597712384;50253824;1638;30;0
1740763111;6.547619044780731;1003585536;16779890688;7772737536;105597712384;50493030;1638;30;19
1740763111;5.965909004211426;1074704384;16779890688;7772737536;105597712384;50538905;20480;30;19
1740763111;6.25;1142587392;16779890688;7772737536;105597712384;50819891;20480;30;19
1740763111;6.25;1213804544;16779890688;7772737536;105597712384;50724044;20480;20;19
1740763112;5.9375;1281712128;16779890688;7772737536;105597712384;50664243;18841;0;19
1740763112;5.9375;1350770688;16779890688;7772737536;105597712384;50270208;18841;0;0
1740763112;6.25;1418432512;16779890688;7772737536;105597712384;49677926;0;0;0
1740763112;6.25;1489993728;16779890688;7772737536;105597712384;49623040;0;0;0
1740763112;6.25;1561845760;16779890688;7772737536;105597712384;49890918;0;10;0
1740763113;5.952381134033203;1628622848;16779890688;7772737536;105597712384;50099814;0;10;0
1740763113;6.547619044780731;1699778560;16779890688;7772737536;105597712384;50586419;0;10;14
1740763113;6.25;1767440384;16779890688;7772737536;105597712384;51048448;0;10;14
1740763113;6.25;1839296512;16779890688;7772737536;105597712384;51257344;0;10;14
1740763113;5.9375;1910607872;16779890688;7772737536;105597712384;50884608;0;0;14
1740763114;6.25;1977790464;16779890688;7772737536;105597712384;50867404;0;0;14
