timestamp;cpu_usage;ram_used;ram_total;disk_used;disk_total;disk_read;disk_write;network_in;network_out
1740764448;7.894736289978027;397041664;16782893056;15240478720;105597712384;10892902;6553;148;164
1740764448;56.51629137992859;454291456;16782893056;15240478720;105597712384;28658892;6553;148;164
1740764448;51.190476179122925;454590464;16782893056;15240478720;105597712384;70837862;6553;168;164
1740764448;55.88972473144531;455106560;16782893056;15240478720;105597712384;115664486;6553;158;164
1740764449;50.26737976074219;455430144;16782893056;15240478720;105597712384;159547392;6553;158;164
1740764449;73.80952453613281;455827456;16782893056;15240478720;105597712384;211700121;0;20;0
1740764449;70.03968238830566;455557120;16782893056;15240478720;105597712384;256220364;22937;20;0
1740764449;71.30952453613281;456175616;16782893056;15240478720;105597712384;277506457;22937;0;14
1740764449;68.98809432983398;456466432;16782893056;15240478720;105597712384;291688448;22937;10;14
1740764450;67.73809432983398;456626176;16782893056;15240478720;105597712384;305032396;22937;10;14
1740764450;70.9698874950409;458461184;16782893056;15240478720;105597712384;285948313;22937;10;14
1740764450;72.67316055297852;462757888;16782893056;15240478720;105597712384;267964416;0;10;14
1740764450;73.75;466677760;16782893056;15240478720;105597712384;248460902;280166;10;0
1740764450;72.5;469606400;16782893056;15240478720;105597712384;232207974;280166;0;0
1740764451;71.24373626708984;473899008;16782893056;15240478720;105597712384;220830924;280166;0;0
1740764451;75;477798400;16782893056;15240478720;105597712384;223924224;280166;0;0
1740764451;72.7272720336914;481366016;16782893056;15240478720;105597712384;225208729;280166;0;0
1740764451;69.98015785217285;485105664;16782893056;15240478720;105597712384;226598092;503808;0;0
1740764451;45.73934864997864;487268352;16782893056;15240478720;105597712384;208483942;16954982;10;0
1740764452;73.80952453613281;490283008;16782893056;15240478720;105597712384;203031347;49880268;10;0
1740764452;32.1434268951416;491241472;16782893056;15240478720;105597712384;172124569;64516096;10;0
1740764452;27.07137250900269;492576768;16782893056;15240478720;105597712384;141401292;75888230;10;0
1740764452;70.05952405929565;495960064;16782893056;15240478720;105597712384;135293337;105904537;10;0
1740764452;68.11716747283936;499261440;16782893056;15240478720;105597712384;145700454;121759334;0;0
1740764453;73.34871339797974;502222848;16782893056;15240478720;105597712384;142658764;122155827;0;0
1740764453;13.75000023841858;502554624;16782893056;15240478720;105597712384;133745868;113161011;0;0
1740764453;0;502087680;16782893056;15240478720;105597712384;118882304;101788876;0;0
1740764453;51.973684549331665;502579200;16782893056;15240478720;105597712384;109838336;86715596;0;0
1740764453;76.23015785217285;505069568;16782893056;15240478720;105597712384;115213107;79544320;10;0
1740764454;77.21861553192139;509063168;16782893056;15240478720;105597712384;118489907;76870451;10;0
1740764454;28.734335899353027;509775872;16782893056;15240478720;105597712384;126432870;84423475;10;0
1740764454;30.7738094329834;511979520;16782893056;15240478720;105597712384;141663436;93958963;10;0
1740764454;61.75324630737305;513933312;16782893056;15240478720;105597712384;144625664;101629952;10;0
1740764454;46.98934745788574;516481024;16782893056;15240478720;105597712384;128922419;96878592;0;0
1740764455;36.84523844718933;517251072;16782893056;15240478720;105597712384;105617817;83314278;0;0
1740764455;58.712406158447266;520343552;16782893056;15240478720;105597712384;119301734;90442137;0;0
1740764455;71.56746065616608;532078592;16782893056;15240478720;105597712384;141978009;112139468;0;0
1740764455;55.526315689086914;533635072;16782893056;15240478720;105597712384;137940992;115698073;0;0
1740764455;0;533635072;16782893056;15240478720;105597712384;113220812;95314739;10;0
1740764456;57.96650743484497;537239552;16782893056;15240478720;105597712384;125698867;97800192;10;0
1740764456;76.25;539918336;16782893056;15240478720;105597712384;137154560;107334860;10;0
1740764456;71.83014583587646;543395840;16782893056;15240478720;105597712384;136078950;107972198;10;0
1740764456;63.34586572647095;545652736;16782893056;15240478720;105597712384;140876185;114416025;10;0
1740764456;71.07142877578735;549543936;16782893056;15240478720;105597712384;178547097;147157811;0;0
1740764457;72.55325889587402;553259008;16782893056;15240478720;105597712384;187695923;161136640;0;0
1740764457;71.93584632873535;553402368;16782893056;15240478720;105597712384;184340480;163364864;0;0
1740764457;70.24436116218567;554278912;16782893056;15240478720;105597712384;185808486;165810995;0;0
1740764457;55.65789532661438;553857024;16782893056;15240478720;105597712384;180775321;157499392;0;0
1740764457;1.1904761791229248;553857024;16782893056;15240478720;105597712384;143104409;124757606;10;0
1740764458;0;553857024;16782893056;15240478720;105597712384;104149811;91209728;10;0
1740764458;0;553857024;16782893056;15240478720;105597712384;67187507;59124940;10;0
1740764458;0;553857024;16782893056;15240478720;105597712384;28888268;24808652;10;0
1740764458;75.05952453613281;555110400;16782893056;15240478720;105597712384;40265318;30599577;10;0
1740764468;10;389644288;16782893056;15240290304;105597712384;17156505;102400;175;337
1740764468;70.23809623718262;456421376;16782893056;15240290304;105597712384;48566272;102400;175;337
1740764468;72.61904907226563;456437760;16782893056;15240290304;105597712384;111322726;97484;165;258
1740764469;57.10317420959473;459952128;16782893056;15240450048;105597712384;158846156;6553;151;240
1740764469;48.19444561004639;459567104;16782893056;15240450048;105597712384;201156198;6553;151;194
1740764469;59.2470760345459;460189696;16782893056;15240450048;105597712384;239101542;6553;0;19
1740764469;60.25786018371582;461807616;16782893056;15240450048;105597712384;256345702;6553;0;19
1740764469;64.32643961906433;462442496;16782893056;15240450048;105597712384;245781299;6553;10;19
1740764470;76.36363625526428;462663680;16782893056;15240450048;105597712384;258718105;0;10;19
1740764470;97.5;483606528;16782893056;15240454144;105597712384;276439859;819;10;19
1740764470;82.66908168792725;452808704;16782893056;15240478720;105597712384;274118246;1638;30;0
1740764470;72.5;456658944;16782893056;15240478720;105597712384;272021094;1638;30;0
1740764470;75;460972032;16782893056;15240478720;105597712384;263737344;1638;20;0
1740764471;70.40043449401855;464211968;16782893056;15240478720;105597712384;247320576;20480;20;0
1740764471;76.19047617912292;468058112;16782893056;15240478720;105597712384;236335923;21299;20;0
1740764471;74.94047617912292;471330816;16782893056;15240478720;105597712384;235851776;20480;0;0
1740764471;72.49373626708984;474804224;16782893056;15240478720;105597712384;233911910;20480;0;14
1740764471;50.855262756347656;477413376;16782893056;15240478720;105597712384;215011328;10984652;10;14
1740764472;56.73872232437134;480628736;16782893056;15240478720;105597712384;201326592;40024473;10;14
1740764472;73.17370128631592;483098624;16782893056;15240478720;105597712384;189137715;73326592;10;14
1740764472;27.775688648223877;484257792;16782893056;15240478720;105597712384;156081356;86073344;10;14
1740764472;13.273810148239136;484524032;16782893056;15240478720;105597712384;117572403;90457702;10;0
1740764472;72.15823793411255;488435712;16782893056;15240478720;105597712384;127140659;106912153;0;0
1740764473;28.258145332336422;489746432;16782893056;15240478720;105597712384;110599372;89133875;0;0
1740764473;67.11941051483154;493064192;16782893056;15240478720;105597712384;108370329;87532339;0;0
1740764473;61.74527454376221;495095808;16782893056;15240478720;105597712384;127297126;108323635;0;0
1740764473;11.866883277893066;495599616;16782893056;15240478720;105597712384;126746624;109542604;0;0
1740764473;32.689014196395874;496898048;16782893056;15240478720;105597712384;105670246;94855987;10;0
1740764474;74.30382966995239;500125696;16782893056;15240478720;105597712384;128661094;113559961;10;0
1740764474;71.29870271682739;503410688;16782893056;15240478720;105597712384;130050457;114822348;10;0
1740764474;14.786967277526855;503529472;16782893056;15240478720;105597712384;105618636;90092339;10;0
1740764474;35.446428298950195;505450496;16782893056;15240478720;105597712384;115684966;97491353;10;0
1740764474;45.72940540313721;506880000;16782893056;15240478720;105597712384;121006489;103802470;0;0
1740764475;55.29762029647827;509526016;16782893056;15240478720;105597712384;111122841;101738086;0;0
1740764475;60.83020234107971;512159744;16782893056;15240478720;105597712384;105984819;101900288;0;0
1740764475;22.08333420753479;516702208;16782893056;15240478720;105597712384;108763545;104559411;0;0
1740764475;43.81892299652099;518930432;16782893056;15240478720;105597712384;115422003;108834816;10;0
1740764475;28.808297634124756;520114176;16782893056;15240478720;105597712384;106325606;102400819;10;0
1740764476;65.2759747505188;523059200;16782893056;15240478720;105597712384;110179942;107085004;10;0
1740764476;62.135642647743225;525484032;16782893056;15240478720;105597712384;112041164;107047321;10;0
1740764476;63.57142877578735;528539648;16782893056;15240478720;105597712384;133458329;128420249;10;0
1740764476;69.0909104347229;531795968;16782893056;15240478720;105597712384;146172313;144264396;0;0
1740764476;62.8896107673645;533512192;16782893056;15240478720;105597712384;165518540;164346265;30;0
1740764477;70.3349289894104;537092096;16782893056;15240478720;105597712384;168558592;165249024;30;0
1740764477;66.66407871246338;540327936;16782893056;15240478720;105597712384;171023564;167542784;30;0
1740764477;57.52392387390137;542400512;16782893056;15240478720;105597712384;166593331;163484467;30;0
1740764477;0;542400512;16782893056;15240478720;105597712384;131597107;130362572;30;0
1740764477;0;542400512;16782893056;15240478720;105597712384;98776678;97671577;10;0
1740764478;0;542400512;16782893056;15240478720;105597712384;63623168;64164659;10;0
1740764478;0;542334976;16782893056;15240478720;105597712384;28730982;33535590;10;0
1740764478;69.98120307922363;543907840;16782893056;15240478720;105597712384;33764147;26278297;30;0
1740764478;75.05952453613281;545140736;16782893056;15240478720;105597712384;73007104;53452800;30;14
1740764478;68.57142877578735;545812480;16782893056;15240478720;105597712384;107426611;89210880;20;14
1740764479;63.98809623718262;545660928;16782893056;15240478720;105597712384;139958681;124441395;20;14
1740764479;35.25793695449829;545488896;16782893056;15240478720;105597712384;156028108;136615526;20;14
1740764479;0;545488896;16782893056;15240478720;105597712384;122578534;115091046;0;14
1740764479;19.642857551574707;546263040;16782893056;15240478720;105597712384;93834444;104385740;0;0
1740764490;13.954678416252136;419827712;16782893056;15240290304;105597712384;17906892;100761;138;266
1740764490;61.79621887207031;460767232;16782893056;15240290304;105597712384;47416934;100761;138;266
1740764491;64.04573726654053;462057472;16782893056;15240290304;105597712384;99133849;100761;138;308
1740764491;64.74310755729675;462036992;16782893056;15240290304;105597712384;149171404;95846;138;252
1740764491;53.33333587646485;465215488;16782893056;15240450048;105597712384;190801510;6553;138;207
1740764491;49.2261905670166;465362944;16782893056;15240450048;105597712384;219349811;6553;0;42
1740764491;58.98809623718262;465297408;16782893056;15240450048;105597712384;238939340;6553;10;42
1740764492;57.70676803588867;465883136;16782893056;15240450048;105597712384;235138252;6553;10;0
1740764492;66.29699325561523;466288640;16782893056;15240450048;105597712384;238965555;6553;30;19
1740764492;68.88528156280518;460582912;16782893056;15240450048;105597712384;247595827;16384;30;19
1740764492;90.33378982543944;488665088;16782893056;15240454144;105597712384;254890803;18022;30;19
1740764492;82.19335174560547;461922304;16782893056;15240478720;105597712384;247064985;19660;20;19
1740764493;71.17063403129578;465600512;16782893056;15240478720;105597712384;240983244;19660;20;19
1740764493;71.30952453613281;469438464;16782893056;15240478720;105597712384;227273113;19660;0;0
1740764493;70.05952334403992;473001984;16782893056;15240478720;105597712384;216000921;3276;0;0
1740764493;67.87708163261414;476172288;16782893056;15240478720;105597712384;206661222;1638;0;0
1740764493;66.5134437084198;478748672;16782893056;15240478720;105597712384;204577996;0;10;0
1740764494;66.5476188659668;482217984;16782893056;15240478720;105597712384;202585702;0;10;0
1740764494;69.88095235824585;483815424;16782893056;15240478720;105597712384;201432268;0;10;0
1740764494;41.02272701263428;485199872;16782893056;15240478720;105597712384;183082188;13924761;10;0
1740764494;64.22305965423584;486047744;16782893056;15240478720;105597712384;178310348;47865856;10;14
1740764494;73.13862323760986;489353216;16782893056;15240478720;105597712384;177472307;82144460;0;14
1740764495;12.716450452804564;489488384;16782893056;15240478720;105597712384;141846937;86387916;0;14
1740764495;29.09147882461548;490758144;16782893056;15240478720;105597712384;115160678;98729984;0;14
1740764495;40.068923234939575;491896832;16782893056;15240478720;105597712384;112355737;101370265;0;14
1740764495;66.37374782562256;494931968;16782893056;15240478720;105597712384;111097446;97645363;0;0
1740764495;67.75717759132385;497795072;16782893056;15240478720;105597712384;108684902;94953472;10;0
1740764496;53.82575893402099;499552256;16782893056;15240478720;105597712384;131255500;113518182;10;0
1740764496;0;499552256;16782893056;15240478720;105597712384;116627865;101176115;10;0
1740764496;48.10463762283325;502964224;16782893056;15240478720;105597712384;121765888;99705651;10;0
1740764496;50.31328344345093;504635392;16782893056;15240478720;105597712384;114007244;87252992;10;0
1740764496;74.88095188140869;507682816;16782893056;15240478720;105597712384;115527680;87357849;14;0
1740764497;44.166667461395264;509435904;16782893056;15240478720;105597712384;110887731;84721664;14;0
1740764497;36.54591107368469;511270912;16782893056;15240478720;105597712384;129264025;100935270;14;0
1740764497;31.64160466194153;512086016;16782893056;15240478720;105597712384;120639488;102234521;14;0
1740764497;70.50239562988281;515723264;16782893056;15240478720;105597712384;131150643;116699955;14;0
1740764497;71.96060943603516;518787072;16782893056;15240478720;105597712384;131622502;118486630;10;0
1740764498;62.242063760757446;521056256;16782893056;15240478720;105597712384;140509184;127399526;10;0
1740764498;0;521056256;16782893056;15240478720;105597712384;122132889;111185920;10;0
1740764498;39.4078950881958;523218944;16782893056;15240478720;105597712384;127874662;109911244;10;0
1740764498;72.44047617912292;527273984;16782893056;15240478720;105597712384;129788313;106616422;10;0
1740764498;65.56732845306396;529833984;16782893056;15240478720;105597712384;126328012;104982118;0;0
1740764499;69.55827188491821;532226048;16782893056;15240478720;105597712384;130443673;108770099;0;0
1740764499;65.11904859542847;535539712;16782893056;15240478720;105597712384;164260249;142354022;0;0
1740764499;59.31818222999573;537767936;16782893056;15240478720;105597712384;171127603;159039488;0;0
1740764499;68.55889749526978;540729344;16782893056;15240478720;105597712384;168244838;162507980;0;0
1740764499;70.21474266052246;544444416;16782893056;15240478720;105597712384;171338137;166972620;10;0
1740764500;53.42105150222778;544350208;16782893056;15240478720;105597712384;164181606;160640204;30;0
1740764500;0;544350208;16782893056;15240478720;105597712384;130365030;127056281;30;0
1740764500;0;544350208;16782893056;15240478720;105597712384;100637900;95251660;30;0
1740764500;0;544350208;16782893056;15240478720;105597712384;65562214;62849024;30;0
1740764500;5.085630774497986;544919552;16782893056;15240478720;105597712384;31299993;35273113;20;0
1740764501;65.1406922340393;545193984;16782893056;15240478720;105597712384;33685504;34393292;0;0
1740764501;71.80024003982544;546254848;16782893056;15240478720;105597712384;69284659;62621286;0;0
1740764501;67.96536827087402;546852864;16782893056;15240478720;105597712384;108842188;95816908;0;0
1740764511;2.440476179122925;351510528;16782893056;15240290304;105597712384;6373376;101580;138;291
1740764511;27.631577968597412;434409472;16782893056;15240290304;105597712384;18082201;101580;138;304
1740764511;63.76984214782715;450060288;16782893056;15240290304;105597712384;55469670;96665;148;230
1740764512;67.01298809051514;455016448;16782893056;15240450048;105597712384;107415961;6553;161;218
1740764512;60;455200768;16782893056;15240450048;105597712384;159687475;6553;161;218
1740764512;75;455516160;16782893056;15240450048;105597712384;223901286;6553;23;43
1740764512;73.75000071525574;455761920;16782893056;15240450048;105597712384;278699212;6553;23;30
1740764512;73.75;456327168;16782893056;15240450048;105597712384;301486899;6553;13;30
1740764513;69.22248888015747;458891264;16782893056;15240450048;105597712384;302260224;0;0;19
1740764513;90.45995712280272;479920128;16782893056;15240454144;105597712384;304830054;819;0;19
1740764513;83.86904716491699;451620864;16782893056;15240478720;105597712384;288799129;1638;20;0
1740764513;71.3636360168457;455585792;16782893056;15240478720;105597712384;268796723;1638;30;0
1740764513;72.43421173095703;459214848;16782893056;15240478720;105597712384;251180646;3276;30;0
1740764514;72.50000071525574;463515648;16782893056;15240478720;105597712384;242810880;22118;30;0
1740764514;76.19047617912292;467062784;16782893056;15240478720;105597712384;236204851;21299;30;0
1740764514;71.36904907226563;471138304;16782893056;15240478720;105597712384;231552614;20480;10;14
1740764514;75;475361280;16782893056;15240478720;105597712384;233125478;20480;0;14
1740764514;66.52778053283691;475443200;16782893056;15240478720;105597712384;227410739;8957952;0;14
1740764515;46.140352725982666;477061120;16782893056;15240478720;105597712384;206701363;33369292;0;14
1740764515;66.86507952213287;480784384;16782893056;15240478720;105597712384;195717529;68349132;0;14
1740764515;36.62337684631348;481505280;16782893056;15240478720;105597712384;169634201;86273228;0;0
1740764515;18.690476179122925;482422784;16782893056;15240478720;105597712384;132042752;94189977;10;0
1740764515;76.07142925262451;486273024;16782893056;15240478720;105597712384;131256320;115267993;10;0
1740764516;28.2738094329834;486957056;16782893056;15240478720;105597712384;120534630;103949107;10;0
1740764516;57.23684239387512;489996288;16782893056;15240478720;105597712384;114635571;96318259;10;0
1740764516;68.80952405929565;493363200;16782893056;15240478720;105597712384;133641011;111003238;10;0
1740764516;4.946741819381714;492998656;16782893056;15240478720;105597712384;126143692;105802956;0;0
1740764516;72.66148567199707;496840704;16782893056;15240478720;105597712384;126013440;103984332;0;0
1740764517;73.39783477783203;499752960;16782893056;15240478720;105597712384;150917120;123152793;0;0
1740764517;49.62092590332031;501792768;16782893056;15240478720;105597712384;146749030;119419699;0;0
1740764517;0;501792768;16782893056;15240478720;105597712384;108974080;86810624;0;0
1740764517;55.71428680419922;504643584;16782893056;15240478720;105597712384;136525414;104690483;14;0
1740764518;35;506265600;16782893056;15240478720;105597712384;115972505;91168768;24;0
1740764518;65.83592224121094;508973056;16782893056;15240478720;105597712384;111227699;91435827;24;0
1740764518;62.982457399368286;511610880;16782893056;15240478720;105597712384;117047296;101092556;24;0
1740764518;56.27193069458008;526589952;16782893056;15240478720;105597712384;144546201;127899238;24;0
1740764518;0;526589952;16782893056;15240478720;105597712384;114006425;107302912;10;0
1740764519;52.105262756347656;529494016;16782893056;15240478720;105597712384;123129856;113060249;0;0
1740764519;66.11215472221375;532434944;16782893056;15240478720;105597712384;122867712;111049932;0;0
1740764519;64.20995712280273;535494656;16782893056;15240478720;105597712384;123496857;110714060;0;0
1740764519;61.9078950881958;522698752;16782893056;15240478720;105597712384;129657241;117474918;0;0
1740764519;62.73391914367676;524771328;16782893056;15240478720;105597712384;162399027;149803827;10;0
1740764520;69.66036367416382;527867904;16782893056;15240478720;105597712384;170655744;162137702;10;0
1740764520;61.18113946914673;530661376;16782893056;15240478720;105597712384;168664268;164298752;10;0
1740764520;67.346604347229;534200320;16782893056;15240478720;105597712384;169188556;167324876;10;0
1740764520;35.592105865478516;533585920;16782893056;15240478720;105597712384;154429849;151412736;10;0
1740764520;0;533585920;16782893056;15240478720;105597712384;121688064;119083827;0;0
1740764521;0;533585920;16782893056;15240478720;105597712384;85564620;86315827;0;0
1740764521;0;533585920;16782893056;15240478720;105597712384;53057945;53618278;0;0
1740764521;25.789472579956055;534315008;16782893056;15240478720;105597712384;32925286;31875072;0;0
1740764521;76.9120545387268;534896640;16782893056;15240478720;105597712384;54263808;40173568;20;14
1740764521;70.78292322158813;535453696;16782893056;15240478720;105597712384;89312460;67374284;30;14
1740764522;59.47368550300598;536453120;16782893056;15240478720;105597712384;121425100;102309888;30;14
1740764532;32.938597202301025;437235712;16782893056;15240290304;105597712384;18109235;100761;201;319
1740764532;64.86842155456543;447594496;16782893056;15240290304;105597712384;62322278;100761;201;319
1740764532;59.677319288253784;448151552;16782893056;15240290304;105597712384;108497305;95846;201;263
1740764532;65.67042684555054;451174400;16782893056;15240450048;105597712384;161677312;6553;151;240
1740764533;53.52870750427246;451592192;16782893056;15240450048;105597712384;205717504;6553;151;218
1740764533;61.66666793823242;451362816;16782893056;15240450048;105597712384;245560934;6553;0;19
1740764533;68.64177441596985;453197824;16782893056;15240450048;105597712384;256004915;6553;0;19
1740764533;64.52485466003418;453816320;16782893056;15240450048;105597712384;262139084;6553;0;19
1740764533;64.62662529945374;445546496;16782893056;15240450048;105597712384;258868019;0;0;19
1740764534;92.59569549560548;475324416;16782893056;15240454144;105597712384;263739801;0;10;19
1740764534;82.36842250823975;448249856;16782893056;15240478720;105597712384;255021875;1638;10;0
1740764534;69.145024061203;451317760;16782893056;15240478720;105597712384;241652531;1638;10;0
1740764534;68.34064483642578;455118848;16782893056;15240478720;105597712384;228178329;1638;30;0
1740764534;67.85714149475098;458514432;16782893056;15240478720;105597712384;218007142;20480;30;0
1740764535;73.80952453613281;461836288;16782893056;15240478720;105597712384;213739110;22118;20;0
1740764535;73.86904907226563;466010112;16782893056;15240478720;105597712384;216112332;20480;20;0
1740764535;71.30952453613281;469708800;16782893056;15240478720;105597712384;222010572;20480;20;0
1740764535;74.94047617912292;472924160;16782893056;15240478720;105597712384;223032934;20480;0;0
1740764535;50.23809862136841;475303936;16782893056;15240478720;105597712384;208300441;22824550;10;14
1740764536;65;478040064;16782893056;15240478720;105597712384;199623475;56552652;10;14
1740764536;63.66600799560547;481210368;16782893056;15240478720;105597712384;185153126;86936780;10;14
1740764536;0;481050624;16782893056;15240478720;105597712384;137967206;86936780;10;14
1740764536;43.94736862182617;483340288;16782893056;15240478720;105597712384;119066624;103912243;10;14
1740764536;42.757463455200195;484397056;16782893056;15240478720;105597712384;113902387;97366835;0;0
1740764537;72.56579065322876;487686144;16782893056;15240478720;105597712384;116654080;96944128;0;0
1740764537;68.65966415405273;491278336;16782893056;15240478720;105597712384;120533811;100340531;0;0
1740764537;26.644736289978027;491724800;16782893056;15240478720;105597712384;133955584;113616486;0;0
1740764537;15.85213041305542;492732416;16782893056;15240478720;105597712384;117755084;102758809;0;0
1740764537;70.28138589859009;495595520;16782893056;15240478720;105597712384;133117542;113570611;10;0
1740764538;72.67857193946838;498085888;16782893056;15240478720;105597712384;132042752;111440691;10;0
1740764538;37.14969253540039;500121600;16782893056;15240478720;105597712384;115606323;95928320;10;0
1740764538;9.523809909820557;501260288;16782893056;15240478720;105597712384;107689574;87031808;10;0
1740764538;70.78292322158813;504049664;16782893056;15240478720;105597712384;135267123;107262771;10;0
1740764538;38.99806499481201;505286656;16782893056;15240478720;105597712384;117257011;96740966;0;0
1740764539;67.01680779457092;516481024;16782893056;15240478720;105597712384;112721920;97738752;0;0
1740764539;57.73809576034546;525082624;16782893056;15240478720;105597712384;122735820;112033792;0;0
1740764539;31.007063150405884;511340544;16782893056;15240478720;105597712384;133876940;123342028;14;0
1740764539;9.833960056304932;511528960;16782893056;15240478720;105597712384;103337164;101498880;14;0
1740764539;68.3442964553833;514318336;16782893056;15240478720;105597712384;117808332;109790822;24;0
1740764540;67.62446069717407;517300224;16782893056;15240478720;105597712384;118385049;107654348;24;0
