timestamp;cpu_usage;ram_used;ram_total;disk_used;disk_total;disk_read;disk_write;network_in;network_out
1740763687;12.38095235824585;395608064;16782893056;15240290304;105597712384;17485824;97484;137;293
1740763687;67.60651659965515;471703552;16782893056;15240290304;105597712384;23778099;97484;137;256
1740763687;69.67731928825378;477949952;16782893056;15240450048;105597712384;55716249;6553;137;211
1740763687;65.04699325561523;480235520;16782893056;15240450048;105597712384;87042457;6553;148;211
1740763688;67.48746871948242;482566144;16782893056;15240450048;105597712384;119758028;6553;148;211
1740763688;65.2976188659668;484806656;16782893056;15240450048;105597712384;139249254;6553;10;0
1740763688;64.98120307922363;487276544;16782893056;15240450048;105597712384;160740966;7372;10;19
1740763688;71.55958080291748;486944768;16782893056;15240454144;105597712384;159050137;16384;10;19
1740763688;96.24373626708984;514609152;16782893056;15240454144;105597712384;161148108;17203;20;19
1740763689;85.05952453613281;487268352;16782893056;15240478720;105597712384;163729408;18022;20;19
1740763689;76.19047617912292;488792064;16782893056;15272046592;105597712384;155235942;18022;20;19
1740763689;73.80952453613281;487530496;16782893056;15339409408;105597712384;144933683;17203;20;0
1740763689;75;487907328;16782893056;15402086400;105597712384;135593984;1638;20;0
1740763689;75;489480192;16782893056;15467130880;105597712384;123744256;819;10;0
1740763690;75.05411219596863;490983424;16782893056;15530848256;105597712384;109812121;0;10;0
1740763690;73.80952453613281;492216320;16782893056;15595524096;105597712384;107846041;0;10;0
1740763690;75;493285376;16782893056;15662419968;105597712384;108448972;0;10;14
1740763690;73.80952453613281;494624768;16782893056;15729188864;105597712384;108659507;0;10;14
1740763690;73.8636360168457;495988736;16782893056;15796842496;105597712384;109367296;0;0;14
1740763691;75;498376704;16782893056;15856418816;105597712384;108476006;0;0;14
1740763691;75;501268480;16782893056;15915651072;105597712384;106667212;0;0;14
1740763691;75;504082432;16782893056;15974887424;105597712384;104727347;0;0;0
1740763691;71.06516408920288;503885824;16782893056;16032542720;105597712384;101187584;8390246;0;0
1740763691;75;506978304;16782893056;16088690688;105597712384;98068070;21916876;10;0
1740763692;73.80952453613281;509595648;16782893056;16148451328;105597712384;97386496;21916876;10;0
1740763692;75;512008192;16782893056;16209145856;105597712384;97727283;21916876;10;0
1740763692;75;514449408;16782893056;16268488704;105597712384;97438924;28522905;10;0
1740763692;75.05952453613281;517230592;16782893056;16322375680;105597712384;97045708;52009369;10;0
1740763692;71.92460489273071;520568832;16782893056;16375771136;105597712384;96024166;63700992;14;0
1740763693;13.947368144989014;520163328;16782893056;16386600960;105597712384;79561523;72404172;14;0
1740763693;0;528478208;16782893056;16386600960;105597712384;59533721;72404172;14;0
1740763693;37.8702449798584;523747328;16782893056;16411549696;105597712384;47842099;83777945;14;0
1740763693;59.47368621826172;525508608;16782893056;16454275072;105597712384;43595366;65377894;14;0
1740763693;41.25;527220736;16782893056;16481193984;105597712384;35153510;54818406;10;0
1740763694;78.75000023841858;529809408;16782893056;16534560768;105597712384;49519001;75481907;10;0
1740763694;74.21992588043213;532189184;16782893056;16584548352;105597712384;65876787;102430310;10;0
1740763694;77.63157892227173;534331392;16782893056;16637149184;105597712384;75313971;109511475;10;0
1740763694;72.78679847717285;536924160;16782893056;16689844224;105597712384;79010201;125660364;10;0
1740763694;40;538013696;16782893056;16717840384;105597712384;78983987;126779392;0;0
1740763695;0;538013696;16782893056;16717840384;105597712384;61289267;97412710;0;0
1740763695;0;538013696;16782893056;16717840384;105597712384;44931481;70464307;0;0
1740763695;66.325758934021;540114944;16782893056;16765153280;105597712384;43437260;67108864;0;0
1740763695;78.57142877578735;542728192;16782893056;16821387264;105597712384;43909120;64117145;0;0
1740763695;76.38888895511627;544706560;16782893056;16873160704;105597712384;52455014;80425779;10;0
1740763696;75.05952453613281;547512320;16782893056;16926146560;105597712384;69232230;105696460;10;0
1740763696;78.35497903823853;549834752;16782893056;16978944000;105597712384;87268556;140928614;10;0
1740763696;48.37092590332031;551043072;16782893056;17014300672;105597712384;82681036;132805427;10;0
1740763696;0;551043072;16782893056;17014300672;105597712384;64645529;106171596;10;0
1740763696;0;551043072;16782893056;17014300672;105597712384;46426521;74085171;20;0
1740763697;48.11147212982178;552992768;16782893056;17047166976;105597712384;40397209;62048665;20;0
1740763697;50.015663146972656;554029056;16782893056;17079836672;105597712384;33685504;45533593;20;0
1740763697;66.4285717010498;555790336;16782893056;17123102720;105597712384;36202086;58503168;20;0
1740763697;19.013158321380615;556326912;16782893056;17137324032;105597712384;40868249;69124915;20;0
1740763697;75.11904716491699;559386624;16782893056;17185153024;105597712384;57593036;104145715;10;14
1740763698;74.6645016670227;560926720;16782893056;17236045824;105597712384;63281561;125491609;10;14
1740763698;78.29545450210571;563949568;16782893056;17286475776;105597712384;69127372;142396620;10;14
1740763698;72.3026351928711;565215232;16782893056;17334231040;105597712384;70988595;151778099;10;14
1740763698;50.92105150222778;566509568;16782893056;17371136000;105597712384;78459699;164729651;10;14
1740763698;0;566509568;16782893056;17371136000;105597712384;61734912;129708851;0;0
1740763699;0;566509568;16782893056;17371136000;105597712384;45298483;95128780;0;0
1740763699;29.508145332336422;568012800;16782893056;17391910912;105597712384;34891366;80792780;0;0
1740763699;76.19047617912292;570515456;16782893056;17442070528;105597712384;35704012;66522316;0;0
1740763699;29.5238094329834;571027456;16782893056;17462853632;105597712384;29989273;53864038;0;0
1740763699;67.88329553604126;572624896;16782893056;17506246656;105597712384;45455769;88027955;10;0
1740763700;68.80325889587402;574984192;16782893056;17555398656;105597712384;61236838;121924812;10;0
1740763700;76.25;577605632;16782893056;17606864896;105597712384;72220672;119444275;10;0
1740763700;75;578330624;16782893056;17659781120;105597712384;72850636;97781350;10;0
1740763700;75;577912832;16782893056;17715961856;105597712384;84751974;86866329;10;0
1740763700;76.19047689437866;578949120;16782893056;17768431616;105597712384;86980198;75417190;0;0
1740763701;65.1002516746521;579153920;16782893056;17814331392;105597712384;86429696;64956006;0;0
1740763701;1.1904761791229248;578985984;16782893056;17814331392;105597712384;68682547;46150451;0;0
1740763701;22.142858505249023;579801088;16782893056;17830232064;105597712384;56937676;50855936;0;0
1740763701;59.047619104385376;580464640;16782893056;17874026496;105597712384;52953088;74217881;0;0
1740763701;59.677319288253784;580268032;16782893056;17913094144;105597712384;48653926;73970483;10;0
1740763702;48.928571701049805;580366336;16782893056;17947291648;105597712384;44826624;67574169;10;0
1740763702;44.285715103149414;580947968;16782893056;17977106432;105597712384;54604595;79832678;10;0
1740763702;75.11904716491699;580947968;16782893056;18031280128;105597712384;66584576;108848742;10;0
1740763702;73.68421173095703;581783552;16782893056;18082791424;105597712384;69546803;115521945;10;0
1740763702;74.61675119400024;581976064;16782893056;18130853888;105597712384;72613888;127439667;0;0
1740763703;75.11904907226563;582242304;16782893056;18184798208;105597712384;79115059;145686528;0;0
1740763703;75.19110345840454;583163904;16782893056;18236080128;105597712384;86586163;168130969;0;0
1740763703;76.9977035522461;596373504;16782893056;18286215168;105597712384;85407334;167570636;0;0
1740763703;70.56818389892578;596459520;16782893056;18335514624;105597712384;84778188;169576038;0;0
1740763703;75.19110345840454;597192704;16782893056;18386313216;105597712384;84987904;168049049;10;0
1740763704;75.05952453613281;596926464;16782893056;18434625536;105597712384;84017971;165470208;10;0
1740763704;75.06579065322876;598142976;16782893056;18485477376;105597712384;83441254;163286220;10;0
1740763704;15.654762268066406;597811200;16782893056;18495987712;105597712384;69808947;135900364;10;0
1740763704;0;597811200;16782893056;18495987712;105597712384;53136588;103859814;10;0
1740763704;0;597811200;16782893056;18495987712;105597712384;36464230;71001702;0;0
1740763705;0;597811200;16782893056;18495987712;105597712384;19529728;38294323;0;0
1740763705;1.1904761791229248;597901312;16782893056;18496495616;105597712384;3512729;8128102;0;0
1740763705;75.96861553192139;598106112;16782893056;18547310592;105597712384;17537433;15576268;0;0
1740763705;76.00564050674438;598654976;16782893056;18594992128;105597712384;33449574;36449484;0;0
1740763705;70.34632182121277;598925312;16782893056;18645704704;105597712384;49650073;36449484;10;0
1740763706;71.11215782165527;599044096;16782893056;18694635520;105597712384;66558361;46546944;10;0
1740763706;12.333960056304932;598937600;16782893056;18702696448;105597712384;68288512;49078272;10;0
1740763706;67.36842155456543;600117248;16782893056;18747359232;105597712384;67030220;61197516;10;0
1740763706;72.4747462272644;600743936;16782893056;18796511232;105597712384;68183654;68681728;10;0
1740763706;71.36904716491699;594673664;16782893056;18850054144;105597712384;68996300;93952409;0;0
1740763707;17.440476179122925;588333056;16782893056;18862612480;105597712384;56334745;89533644;0;0
1740763707;46.666669845581055;589131776;16782893056;18894725120;105597712384;65247641;103205273;0;0
1740763707;74.93421220779419;588640256;16782893056;18946621440;105597712384;66008678;106442752;0;0
1740763707;44.423558712005615;588791808;16782893056;18975039488;105597712384;58144358;90720665;10;0
1740763707;23.690476655960083;589205504;16782893056;18989703168;105597712384;47108096;82025676;10;0
1740763708;75.77751445770264;589860864;16782893056;19039846400;105597712384;59559936;107206246;10;0
1740763708;73.75000023841858;590106624;16782893056;19091202048;105597712384;65327104;126117478;24;0
1740763708;74.00062799453735;591069184;16782893056;19143266304;105597712384;66165145;136082227;24;0
1740763708;31.904762029647827;590401536;16782893056;19165020160;105597712384;63936921;139260723;14;0
1740763708;0;590401536;16782893056;19165020160;105597712384;57960038;122685030;30;0
1740763709;53.453946113586426;591425536;16782893056;19197468672;105597712384;52376371;104531558;30;0
1740763709;72.55952572822571;591835136;16782893056;19245879296;105597712384;51747225;93455974;16;0
1740763709;73.75000047683716;591925248;16782893056;19296423936;105597712384;51511296;85981593;16;0
1740763709;39.411028146743774;591962112;16782893056;19325186048;105597712384;53503590;88884838;16;0
1740763709;13.947368144989014;592539648;16782893056;19335081984;105597712384;57068748;93655859;10;0
1740763710;68.92230534553528;592920576;16782893056;19384111104;105597712384;62888345;113298636;10;0
1740763710;73.68421173095703;592715776;16782893056;19434016768;105597712384;63071846;116183040;10;0
