timestamp;cpu_usage;ram_used;ram_total;disk_used;disk_total;disk_read;disk_write;network_in;network_out
1741887165;100;233459712;1020678144;6316650496;105597712384;14981529;28672;14;72
1741887166;100;248926208;1020678144;6316658688;105597712384;20990361;30310;14;72
1741887166;95.23809814453124;281292800;1020678144;6316662784;105597712384;21798092;83558;25;72
1741887166;100;296431616;1020678144;6316650496;105597712384;21798092;83558;40;125
1741887166;100;342274048;1020678144;6281834496;105597712384;16425779;74547;40;83
1741887166;63.15789031982422;289042432;1020678144;6316695552;105597712384;7717683;140902;728;566
1741887167;90.47618865966795;297615360;1020678144;6316732416;105597712384;1712128;139264;18381;13239
1741887167;90.90909576416016;297615360;1020678144;6316732416;105597712384;904396;86016;36870;26490
1741887167;89.47368621826172;297615360;1020678144;6316732416;105597712384;904396;86016;54621;39163
1741887177;95;280248320;1020678144;6316662784;105597712384;21831680;491520;74;147
1741887177;100;320385024;1020678144;6316662784;105597712384;22579609;584089;74;147
1741887177;71.42857360839844;320167936;1020678144;6316695552;105597712384;16857497;593100;74;85
1741887178;90;319991808;1020678144;6316699648;105597712384;1794867;137625;18248;13106
1741887178;90;319987712;1020678144;6316699648;105597712384;1391001;136806;36598;26255
1741887178;94.73684692382813;319987712;1020678144;6316699648;105597712384;892928;103219;54857;39310
1741887188;90;295059456;1020678144;6316662784;105597712384;21369651;450560;91;156
1741887188;95;290623488;1020678144;6316650496;105597712384;21786624;503808;91;156
1741887188;100;338636800;1020678144;6281834496;105597712384;21829222;560332;126;190
1741887189;76.19047546386719;343592960;1020678144;6316695552;105597712384;16810803;546406;126;148
1741887189;0;343515136;1020678144;6316695552;105597712384;1791590;144179;49;44
1741887189;50;343339008;1020678144;6316699648;105597712384;1315635;143360;9818;7065
1741887189;90.47618865966795;347533312;1020678144;6316736512;105597712384;901939;90112;27133;19467
1741887189;90;347533312;1020678144;6316736512;105597712384;859340;33587;45372;32523
1741887199;100;251998208;1020678144;6316650496;105597712384;20872396;420249;61;94
