timestamp;cpu_usage;ram_used;ram_total;disk_used;disk_total;disk_read;disk_write;network_in;network_out
1741704141;40;109330432;492982272;5650067456;105597712384;6314393;525926;4815;575368
1741704142;89.47368621826172;113590272;492982272;5650067456;105597712384;6314393;541491;18822;2325403
1741704142;86.36363983154297;113303552;492982272;5650067456;105597712384;5224857;78643;33410;4134977
1741704142;89.47368621826172;109432832;492982272;5650067456;105597712384;1651507;57344;47641;5942694
1741704142;100;114126848;492982272;5650227200;105597712384;1629388;22937;60490;7705008
1741704142;90.47618865966795;114135040;492982272;5650227200;105597712384;416972;22937;69801;9050766
1741704143;90;110419968;492982272;5650227200;105597712384;416972;7372;69800;9174145
1741704143;94.73684692382813;107683840;492982272;5650227200;105597712384;416972;6553;69276;9280691
1741704143;100;111972352;492982272;5650227200;105597712384;416972;6553;70605;9389934
1741704143;90.90909576416016;113258496;492982272;5650227200;105597712384;7372;0;69804;9295864
1741704143;100;130035712;492982272;5650231296;105597712384;7372;0;61665;8198072
1741704144;100;136810496;492982272;5650235392;105597712384;38502;819;54349;7283507
1741704144;94.73684692382813;108175360;492982272;5650255872;105597712384;72089;1638;51798;6788699
1741704144;90.47618865966795;104030208;492982272;5650255872;105597712384;72089;1638;49664;6708709
1741704144;90.47618865966795;107937792;492982272;5650255872;105597712384;64716;1638;51270;6907107
1741704144;85;107888640;492982272;5650255872;105597712384;64716;1638;58591;7901139
1741704145;90;104947712;492982272;5650255872;105597712384;33587;819;65774;8815876
1741704145;100;103903232;492982272;5650255872;105597712384;0;0;70473;9501426
1741704145;90;107315200;492982272;5650255872;105597712384;0;0;72347;9551674
1741704145;89.47368621826172;107229184;492982272;5650255872;105597712384;0;0;72040;9441737
1741704145;90;103399424;492982272;5650255872;105597712384;0;0;72845;9540912
1741704146;85;107294720;492982272;5650255872;105597712384;0;0;72727;9519460
1741704146;90;107327488;492982272;5650255872;105597712384;0;0;70576;9271641
1741704146;90;106168320;492982272;5650255872;105597712384;0;0;69747;9232129
1741704146;90;103022592;492982272;5650255872;105597712384;0;0;71531;9392527
1741704146;85;107397120;492982272;5650255872;105597712384;0;31948;70996;9267547
1741704147;100;108208128;492982272;5650255872;105597712384;0;31948;72051;9398186
1741704147;95;107274240;492982272;5650255872;105597712384;0;31948;73569;9515294
1741704147;90;107347968;492982272;5650255872;105597712384;0;31948;71837;9423841
1741704147;95;107315200;492982272;5650255872;105597712384;0;31948;71188;9476183
1741704147;85.71428680419922;105832448;492982272;5650255872;105597712384;0;0;71908;9517573
1741704148;89.47368621826172;107339776;492982272;5650255872;105597712384;0;0;71292;9426876
1741704148;90;107323392;492982272;5650255872;105597712384;0;0;69737;9276928
1741704148;89.47368621826172;104628224;492982272;5650255872;105597712384;0;0;70634;9361477
1741704148;95.23809814453124;103424000;492982272;5650255872;105597712384;0;0;70212;9308665
1741704148;90;100941824;492982272;5650255872;105597712384;0;0;69938;9392546
1741704149;100;103428096;492982272;5650255872;105597712384;0;6553;71000;9417367
1741704149;89.47368621826172;104894464;492982272;5650255872;105597712384;0;8192;71037;9507841
1741704149;90.47618865966795;107401216;492982272;5650255872;105597712384;0;8192;70790;9502852
1741704149;94.73684692382813;107393024;492982272;5650255872;105597712384;0;8192;70803;9508084
1741704149;90;107532288;492982272;5650255872;105597712384;0;8192;70350;9392810
1741704150;90;107417600;492982272;5650255872;105597712384;0;1638;68760;9362981
1741704150;89.47368621826172;107352064;492982272;5650255872;105597712384;0;0;68055;9275617
1741704150;90.90909576416016;107122688;492982272;5650255872;105597712384;0;0;68104;9282311
1741704150;90;103821312;492982272;5650255872;105597712384;0;0;68159;9277522
1741704150;100;107716608;492982272;5650255872;105597712384;0;0;69730;9488840
1741704151;94.73684692382813;107352064;492982272;5650255872;105597712384;0;0;70927;9528552
1741704151;89.47368621826172;107208704;492982272;5650255872;105597712384;0;0;71015;9510577
1741704151;90.47618865966795;107401216;492982272;5650255872;105597712384;0;0;71521;9578127
1741704151;90;103432192;492982272;5650255872;105597712384;0;0;69934;9392969
1741704151;90;107311104;492982272;5650255872;105597712384;0;0;68686;9198080
1741704152;85;104247296;492982272;5650255872;105597712384;0;0;67630;9095913
1741704152;85.71428680419922;103383040;492982272;5650255872;105597712384;0;0;69267;9201615
