timestamp;cpu_usage;ram_used;ram_total;disk_used;disk_total;disk_read;disk_write;network_in;network_out
1741706070;31.57894515991211;238288896;1020424192;5650255872;105597712384;1185382;6553;994;1015
1741706070;42.105262756347656;238288896;1020424192;5650255872;105597712384;1185382;6553;2194;2257
1741706070;45;238288896;1020424192;5650255872;105597712384;1185382;6553;3482;3568
1741706070;42.5;238288896;1020424192;5650255872;105597712384;1185382;6553;4725;4833
1741706071;42.105262756347656;238288896;1020424192;5650255872;105597712384;1185382;6553;5958;6098
1741706071;45;238260224;1020424192;5650255872;105597712384;0;19660;6282;6394
1741706071;42.5;238260224;1020424192;5650255872;105597712384;0;19660;6305;6417
1741706071;45;238260224;1020424192;5650255872;105597712384;0;19660;6260;6371
1741706071;47.619049072265625;238260224;1020424192;5650255872;105597712384;0;19660;6418;6555
1741706072;45;238260224;1020424192;5650255872;105597712384;0;19660;6451;6555
1741706072;40.476192474365234;238260224;1020424192;5650255872;105597712384;0;0;6338;6440
1741706072;42.105262756347656;238260224;1020424192;5650255872;105597712384;0;0;6293;6394
1741706072;42.85714340209961;238260224;1020424192;5650255872;105597712384;0;0;6293;6394
1741706072;44.73684310913086;238260224;1020424192;5650255872;105597712384;0;0;6112;6187
1741706073;40;238260224;1020424192;5650255872;105597712384;0;0;6034;6141
1741706073;42.5;238260224;1020424192;5650255872;105597712384;0;0;6102;6210
1741706073;45;238260224;1020424192;5650255872;105597712384;0;0;6124;6233
1741706073;45.238094329833984;238260224;1020424192;5650255872;105597712384;0;0;6192;6325
1741706092;16.666667938232422;237776896;1020424192;5650255872;105597712384;1185382;6553;610;633
1741706092;47.5;237776896;1020424192;5650255872;105597712384;1185382;6553;1966;2013
1741706093;44.73684310913086;237776896;1020424192;5650255872;105597712384;1185382;6553;3243;3301
1741706093;42.5;237776896;1020424192;5650255872;105597712384;1185382;6553;4466;4580
1741706093;42.85714340209961;237740032;1020424192;5650255872;105597712384;1185382;26214;5732;5868
1741706093;44.4444465637207;237740032;1020424192;5650255872;105597712384;0;19660;6395;6500
1741706093;42.85714340209961;237740032;1020424192;5650255872;105597712384;0;19660;6328;6431
1741706094;44.73684310913086;237740032;1020424192;5650255872;105597712384;0;19660;6293;6408
1741706094;42.5;237740032;1020424192;5650255872;105597712384;0;19660;6270;6371
1741706094;42.105262756347656;237740032;1020424192;5650255872;105597712384;0;0;6270;6371
1741706094;45;237740032;1020424192;5650255872;105597712384;0;0;6293;6417
1741706094;47.619049072265625;237740032;1020424192;5650255872;105597712384;0;0;6406;6509
1741706095;45;237740032;1020424192;5650255872;105597712384;0;0;6395;6509
1741706095;42.5;237740032;1020424192;5650255872;105597712384;0;0;6418;6532
1741706095;42.85714340209961;237740032;1020424192;5650255872;105597712384;0;0;6418;6532
1741706095;42.5;237740032;1020424192;5650255872;105597712384;0;0;6373;6463
1741706095;44.73684310913086;237740032;1020424192;5650255872;105597712384;0;0;6237;6348
1741706096;42.85714340209961;237740032;1020424192;5650255872;105597712384;0;0;6248;6348
1741706105;2.5;241717248;1020424192;5650067456;105597712384;6332416;130252;147;242
1741706105;44.88095235824585;242470912;1020424192;5650067456;105597712384;6427443;130252;1414;1517
1741706106;42.85714340209961;243503104;1020424192;5650067456;105597712384;6427443;131072;2612;2736
1741706106;42.105262756347656;243503104;1020424192;5650067456;105597712384;5134745;111411;3809;3906
1741706106;50;246177792;1020424192;5650227200;105597712384;1749811;22937;5030;5148
1741706106;47.36842346191406;246140928;1020424192;5650227200;105597712384;512000;7372;6193;6336
1741706106;45;246140928;1020424192;5650227200;105597712384;416972;7372;6260;6394
1741706107;45.35714340209961;246394880;1020424192;5650227200;105597712384;416972;6553;6260;6394
1741706107;45;246394880;1020424192;5650227200;105597712384;416972;6553;6328;6440
1741706107;47.61904811859131;246394880;1020424192;5650227200;105597712384;0;0;6305;6440
1741706107;87.34335708618164;273174528;1020424192;5650231296;105597712384;7372;819;6147;6256
1741706107;63.15789604187012;241958912;1020424192;5650255872;105597712384;72089;1638;6022;6141
1741706108;42.85714340209961;241958912;1020424192;5650255872;105597712384;72089;1638;6044;6164
1741706108;42.5;241958912;1020424192;5650255872;105597712384;72089;1638;5999;6132
1741706108;45.23809576034546;241958912;1020424192;5650255872;105597712384;72089;1638;6022;6155
1741706108;47.5;241958912;1020424192;5650255872;105597712384;64716;819;6248;6362
1741706108;45;241958912;1020424192;5650255872;105597712384;0;0;6282;6408
1741706109;42.105262756347656;241958912;1020424192;5650255872;105597712384;0;0;6237;6362
1741706109;42.85714340209961;241958912;1020424192;5650255872;105597712384;0;0;6260;6371
1741706129;32.38095426559448;249315328;1020424192;5650255872;105597712384;1185382;53248;941;978
1741706129;42.85714340209961;249315328;1020424192;5650255872;105597712384;1185382;53248;2229;2289
1741706129;44.4444465637207;249315328;1020424192;5650255872;105597712384;1185382;53248;3472;3554
1741706129;44.88095235824585;249315328;1020424192;5650255872;105597712384;1185382;53248;4760;4865
1741706129;45.238094329833984;249315328;1020424192;5650255872;105597712384;1185382;6553;6059;6176
1741706130;42.105262756347656;249282560;1020424192;5650255872;105597712384;0;20480;6361;6463
1741706130;42.5;249282560;1020424192;5650255872;105597712384;0;20480;6338;6440
1741706130;47.5;249282560;1020424192;5650255872;105597712384;0;20480;6451;6578
1741706130;45;249282560;1020424192;5650255872;105597712384;0;20480;6496;6615
1741706130;42.105262756347656;249282560;1020424192;5650255872;105597712384;0;20480;6441;6569
1741706131;44.73684310913086;249282560;1020424192;5650255872;105597712384;0;0;6486;6615
1741706131;43.18181991577149;249282560;1020424192;5650255872;105597712384;0;0;6486;6615
1741706131;42.5;249282560;1020424192;5650255872;105597712384;0;0;6395;6500
1741706131;45;249282560;1020424192;5650255872;105597712384;0;0;6328;6440
1741706131;42.85714340209961;249282560;1020424192;5650255872;105597712384;0;0;6361;6463
1741706132;42.85714340209961;249282560;1020424192;5650255872;105597712384;0;0;6338;6440
1741706132;47.36842346191406;249282560;1020424192;5650255872;105597712384;0;0;6406;6532
1741706151;10.526315689086914;243634176;1020424192;5650255872;105597712384;1185382;6553;353;380
1741706151;42.85714340209961;243634176;1020424192;5650255872;105597712384;1185382;6553;1619;1668
1741706151;42.5;243634176;1020424192;5650255872;105597712384;1185382;6553;2862;2933
1741706151;44.4444465637207;243634176;1020424192;5650255872;105597712384;1185382;6553;4127;4221
1741706152;42.85714340209961;243634176;1020424192;5650255872;105597712384;1185382;6553;5403;5509
1741706152;45;243601408;1020424192;5650255872;105597712384;0;0;6338;6440
1741706152;45;243601408;1020424192;5650255872;105597712384;0;0;6361;6463
1741706152;42.5;243601408;1020424192;5650255872;105597712384;0;0;6383;6486
1741706152;49.88095235824585;243601408;1020424192;5650255872;105597712384;0;0;6451;6578
1741706153;47.5;243601408;1020424192;5650255872;105597712384;0;0;6554;6670
1741706153;42.5;243601408;1020424192;5650255872;105597712384;0;0;6531;6647
1741706153;45;243601408;1020424192;5650255872;105597712384;0;0;6531;6647
1741706153;42.5;243601408;1020424192;5650255872;105597712384;0;0;6531;6647
1741706153;45;243601408;1020424192;5650255872;105597712384;0;0;6486;6578
1741706154;42.5;243601408;1020424192;5650255872;105597712384;0;0;6383;6486
1741706154;42.85714340209961;243601408;1020424192;5650255872;105597712384;0;19660;6361;6477
1741706154;44.73684310913086;243601408;1020424192;5650255872;105597712384;0;19660;6338;6454
1741706154;47.619046688079834;243601408;1020424192;5650255872;105597712384;0;19660;6406;6546
1741706173;33.333335876464844;241328128;1020424192;5650255872;105597712384;1185382;6553;986;1024
1741706173;42.85714340209961;241328128;1020424192;5650255872;105597712384;1185382;6553;2229;2289
1741706173;44.73684310913086;241328128;1020424192;5650255872;105597712384;1185382;6553;3482;3568
1741706174;40.476192474365234;241328128;1020424192;5650255872;105597712384;1185382;6553;4725;4833
1741706174;47.38095235824585;241295360;1020424192;5650255872;105597712384;1185382;26214;5968;6098
1741706174;42.85714340209961;241295360;1020424192;5650255872;105597712384;0;19660;6248;6362
1741706174;45;241295360;1020424192;5650255872;105597712384;0;19660;6270;6385
1741706174;42.85714340209961;241295360;1020424192;5650255872;105597712384;0;19660;6260;6371
1741706175;45;241295360;1020424192;5650255872;105597712384;0;19660;6260;6371
1741706175;49.88095235824585;241295360;1020424192;5650255872;105597712384;0;0;6350;6486
1741706175;42.5;241295360;1020424192;5650255872;105597712384;0;0;6350;6463
1741706175;42.5;241295360;1020424192;5650255872;105597712384;0;0;6328;6440
1741706175;44.73684310913086;241295360;1020424192;5650255872;105597712384;0;0;6350;6463
1741706176;42.5;241295360;1020424192;5650255872;105597712384;0;0;6383;6486
1741706176;44.73684310913086;241295360;1020424192;5650255872;105597712384;0;0;6293;6371
1741706176;42.5;241295360;1020424192;5650255872;105597712384;0;0;6270;6371
1741706176;42.5;241295360;1020424192;5650255872;105597712384;0;0;6270;6371
