timestamp;cpu_usage;ram_used;ram_total;disk_used;disk_total;disk_read;disk_write;network_in;network_out
1741695113;84.21052551269531;92942336;492982272;5764644864;105597712384;1128038;1638;1132;1162
1741695113;85.71428680419922;92942336;492982272;5764644864;105597712384;1128038;3276;2307;2372
1741695114;90;92942336;492982272;5764644864;105597712384;1128038;3276;3449;3545
1741695114;85.71428680419922;92942336;492982272;5764644864;105597712384;1128038;3276;4624;4741
1741695114;90;92897280;492982272;5764644864;105597712384;1128038;3276;5800;5937
1741695114;90.47618865966795;92897280;492982272;5764644864;105597712384;0;1638;5876;6017
1741695114;100;92897280;492982272;5764644864;105597712384;0;0;5989;6095
1741695115;85;92897280;492982272;5764644864;105597712384;0;0;5999;6095
1741695115;90;92897280;492982272;5764644864;105597712384;0;0;5999;6095
1741695115;84.21052551269531;92897280;492982272;5764644864;105597712384;0;0;5999;6095
1741695115;90;92897280;492982272;5764644864;105597712384;0;0;5954;6026
1741695115;84.21052551269531;92897280;492982272;5764644864;105597712384;0;0;5818;5911
1741695116;90;92897280;492982272;5764644864;105597712384;0;0;5830;5934
1741695116;89.47368621826172;92897280;492982272;5764644864;105597712384;0;0;5808;5911
1741695116;85;92897280;492982272;5764644864;105597712384;0;0;5763;5865
1741695116;100;92897280;492982272;5764644864;105597712384;0;13926;5921;6026
1741695116;90;92897280;492982272;5764644864;105597712384;0;13926;5966;6072
1741695117;85.71428680419922;92897280;492982272;5764644864;105597712384;0;13926;5976;6072
1741695117;88.8888931274414;92897280;492982272;5764644864;105597712384;0;13926;5954;6049
1741695127;100;129208320;492982272;5764468736;105597712384;6809190;113049;127;222
1741695128;90;98914304;492982272;5764452352;105597712384;7107379;114688;1076;1234
1741695128;89.47368621826172;98906112;492982272;5764452352;105597712384;7107379;116326;2229;2407
1741695128;85;99414016;492982272;5764452352;105597712384;7107379;116326;3336;3557
1741695128;100;99414016;492982272;5764452352;105597712384;6028492;101580;4624;4830
1741695128;90;98746368;492982272;5764612096;105597712384;705331;9830;5615;5772
1741695129;85;98746368;492982272;5764612096;105597712384;407142;8192;5796;5911
1741695129;89.47368621826172;98746368;492982272;5764612096;105597712384;407142;6553;5796;5911
1741695129;90;101945344;492982272;5764612096;105597712384;407142;6553;5796;5888
1741695129;85.71428680419922;101945344;492982272;5764612096;105597712384;407142;6553;5660;5764
1741695129;90;95686656;492982272;5764612096;105597712384;3276;0;5604;5741
1741695130;100;116580352;492982272;5764612096;105597712384;7372;0;5030;5154
1741695130;95;124473344;492982272;5764628480;105597712384;57344;819;4488;4602
1741695130;95.23809814453124;93868032;492982272;5764640768;105597712384;72089;1638;4352;4487
1741695130;89.47368621826172;90329088;492982272;5764640768;105597712384;72089;1638;4397;4472
1741695130;90;90308608;492982272;5764640768;105597712384;68812;1638;4498;4564
1741695131;85;90308608;492982272;5764640768;105597712384;64716;1638;5118;5198
1741695131;90;90308608;492982272;5764640768;105597712384;14745;819;5683;5773
1741695131;90;90435584;492982272;5764640768;105597712384;0;0;5863;5934
1741695131;85;90435584;492982272;5764640768;105597712384;0;0;5818;5911
1741695131;81.81818389892578;90435584;492982272;5764640768;105597712384;0;0;5799;5888
1741695141;100;129318912;492982272;5764468736;105597712384;6825574;105676;389;486
1741695142;94.44444274902344;98455552;492982272;5764452352;105597712384;7082803;122880;1381;1475
1741695142;90;98553856;492982272;5764452352;105597712384;7082803;125337;2533;2691
1741695142;85;99061760;492982272;5764452352;105597712384;6028492;108953;3618;3741
1741695142;90;99061760;492982272;5764452352;105597712384;2360934;67993;4771;4895
1741695142;89.47368621826172;98213888;492982272;5764612096;105597712384;664371;26214;5454;5562
1741695143;90.47618865966795;98213888;492982272;5764612096;105597712384;407142;9011;5615;5769
